,text,sarcastic
2,So the Scottish Government want people to get their booster shots so badly that the website doesn't even work,1
9,"Sometimes I lay in bed and think about how today will be the day I make my life better. Exercise, drinking water, eating healthy. Then I wake up. ",1
21,"Max Verstappen is such a clean driver, he never makes dirty moves when racing.",1
29,"Today my last day at work this year, was like a holiday. Thanks for the well wishes of yesterday. I’m now looking ahead to the new year….🙏",0
35,Boris looked so statesman-like in that public address,1
40,A big thank you to everyone in our community 💚,0
48,I’m soo excited to cook a three course Christmas dinner for my whole family this year! ,1
53,Love a bit of torrone and don’t try and go all French on me and call it Nougat,0
56,It makes me feel a lot safer knowing the MET Police don't investigate crimes after they happen.,1
58,my life is great lmaooooo.                ,1
59,Thoughts and prayers will actually work this time. Trust me,1
63,"if you listen carefully, you can hear me not carig",1
67,FYI this was not my pint. I hate beer,0
76,Decided to go to birdwatching place today despite terror in face of Omicron (1 person can infect 500 in a room). Decided to accept fate rather than go on hiding away.,0
78,"Why is it that in 2022 we are still referring to women as a ""girl boss"" however men get the title of ""boss""?",0
79,I can't believe the mixed messages coming from the government re Omicron and socialising over Christmas- no one seems to know what's going on!,0
80,Followed,0
87,"The Spanish National Ballet company rehearsing wearing masks: gasping, falling about clutching their chests unable to breathe after 2 minutes. Makes sense that you'd refuse to wear a mask in a bus for five minutes to protect others. Totally. Carry on.",1
95,"just finished such a long, 12 hour shift with no breaks. Tired is an understatement",0
102,Been looking forward to today all weekend.  Mondays are the best.  I feel fresh and ready to start the week.  SAID NO ONE EVER!! ,1
105,The Prime Minister is such a constant liar. Yet again he is lying about Brexit.,0
106,My club 💙 we love you Arthur 💙,0
107,i can believe some believe are complaining about having to wear masks and doing frequent covid tests. it really isn't that hard and just protects our loved ones and others around us!,0
118,Pretty sure we won’t be happy until half the team is off injured tonight 😭,0
119,7:41am and there's a young lad getting off a train with a pint can of Stella and a super king. Those were the days 😂,0
124,"Politics is like waves, they depend on the wind where it blows",1
125,"Respectable draw &amp; good performance in France, Resting some key players &amp; extra minutes in tank for some , looking forward to the Draw on Monday 😉🔴⚪️🔵",0
